W0121 11:08:33.374001  1114 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W0121 11:08:33.379424  1114 device_context.cc:465] device: 0, cuDNN Version: 7.6.
100%|██████████████████████████████████| 69183/69183 [00:01<00:00, 47544.90it/s]
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/nn/layer/conv.py:77: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  } and not isinstance(padding, np.int):
loading model from folder weights/best_640x192/
Loading encoder weights...
loading weight from weights/best_640x192/encoder.pdparams
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/framework/io.py:415: DeprecationWarning: Using or importing the ABCs from 'collections' instead of from 'collections.abc' is deprecated, and in 3.8 it will stop working
  if isinstance(obj, collections.Iterable) and not isinstance(obj, (
Loading depth weights...
loading weight from weights/best_640x192/depth.pdparams
Loading pose_encoder weights...
loading weight from weights/best_640x192/pose_encoder.pdparams
Loading pose weights...
loading weight from weights/best_640x192/pose.pdparams
Cannot find Adam weights so Adam is randomly initialized
Training model named:
   mono+stereo_model_1024x320
Models and tensorboard events files are saved to:
   logs
Using split:
   eigen_zhou
There are 39810 training items and 4424 validation items

Training
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/paddle/nn/layer/norm.py:653: UserWarning: When training, we now always track global mean and variance.
  "When training, we now always track global mean and variance.")
epoch   0 | batch    100 | examples/s:   5.6 | loss: 0.10086 | time elapsed: 00h01m11s | time left: 03h57m04s
epoch   0 | batch    200 | examples/s:   6.2 | loss: 0.09678 | time elapsed: 00h02m15s | time left: 03h44m00s
epoch   0 | batch    300 | examples/s:   6.2 | loss: 0.09486 | time elapsed: 00h03m20s | time left: 03h39m13s
epoch   0 | batch    400 | examples/s:   6.2 | loss: 0.09413 | time elapsed: 00h04m25s | time left: 03h36m00s
epoch   0 | batch    500 | examples/s:   6.2 | loss: 0.09330 | time elapsed: 00h05m29s | time left: 03h33m44s
epoch   0 | batch    600 | examples/s:   6.2 | loss: 0.09276 | time elapsed: 00h06m34s | time left: 03h31m53s
epoch   0 | batch    700 | examples/s:   6.2 | loss: 0.09224 | time elapsed: 00h07m39s | time left: 03h30m24s
epoch   0 | batch    800 | examples/s:   6.2 | loss: 0.09189 | time elapsed: 00h08m43s | time left: 03h28m44s
epoch   0 | batch    900 | examples/s:   6.1 | loss: 0.09174 | time elapsed: 00h09m48s | time left: 03h27m30s
epoch   0 | batch   1000 | examples/s:   6.2 | loss: 0.09137 | time elapsed: 00h10m53s | time left: 03h26m08s
epoch   0 | batch   1100 | examples/s:   6.2 | loss: 0.09129 | time elapsed: 00h11m58s | time left: 03h24m47s
epoch   0 | batch   1200 | examples/s:   6.1 | loss: 0.09100 | time elapsed: 00h13m03s | time left: 03h23m44s
epoch   0 | batch   1300 | examples/s:   6.2 | loss: 0.09065 | time elapsed: 00h14m07s | time left: 03h22m22s
epoch   0 | batch   1400 | examples/s:   6.2 | loss: 0.09028 | time elapsed: 00h15m12s | time left: 03h21m09s
epoch   0 | batch   1500 | examples/s:   6.2 | loss: 0.08994 | time elapsed: 00h16m17s | time left: 03h19m56s
epoch   0 | batch   1600 | examples/s:   6.2 | loss: 0.08964 | time elapsed: 00h17m21s | time left: 03h18m44s
epoch   0 | batch   1700 | examples/s:   6.1 | loss: 0.08951 | time elapsed: 00h18m26s | time left: 03h17m39s
epoch   0 | batch   1800 | examples/s:   6.2 | loss: 0.08930 | time elapsed: 00h19m31s | time left: 03h16m25s
