W0119 19:00:42.120903  2362 device_context.cc:447] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 10.1, Runtime API Version: 10.1
W0119 19:00:42.126507  2362 device_context.cc:465] device: 0, cuDNN Version: 7.6.
loading weight from ./resnet18-f37072fd.h5
loading weight from ./resnet18-f37072fd.h5
Training model named:
   mono+stereo_model
Models and tensorboard events files are saved to:
   /root/paddlejob/workspace/output/
/opt/_internal/cpython-3.7.0/lib/python3.7/site-packages/h5py/__init__.py:36: DeprecationWarning: `np.typeDict` is a deprecated alias for `np.sctypeDict`.
  from ._conv import register_converters as _register_converters
/opt/_internal/cpython-3.7.0/lib/python3.7/site-packages/paddle/nn/layer/conv.py:77: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  } and not isinstance(padding, np.int):
Using split:
   eigen_zhou
There are 39810 training items and 4424 validation items

Training
epoch   0 | batch    100 | examples/s:  13.3 | loss: 0.13573 | time elapsed: 00h01m30s | time left: 16h46m08s
epoch   0 | batch    200 | examples/s:  14.5 | loss: 0.13119 | time elapsed: 00h02m52s | time left: 15h58m04s
epoch   0 | batch    300 | examples/s:  14.5 | loss: 0.12928 | time elapsed: 00h04m15s | time left: 15h41m39s
epoch   0 | batch    400 | examples/s:  14.5 | loss: 0.12705 | time elapsed: 00h05m38s | time left: 15h32m52s
epoch   0 | batch    500 | examples/s:  14.5 | loss: 0.12400 | time elapsed: 00h07m01s | time left: 15h26m31s
epoch   0 | batch    600 | examples/s:  14.5 | loss: 0.12154 | time elapsed: 00h08m24s | time left: 15h21m56s
epoch   0 | batch    700 | examples/s:  14.5 | loss: 0.11981 | time elapsed: 00h09m46s | time left: 15h18m14s
epoch   0 | batch    800 | examples/s:  14.5 | loss: 0.11815 | time elapsed: 00h11m09s | time left: 15h15m08s
epoch   0 | batch    900 | examples/s:  14.5 | loss: 0.11669 | time elapsed: 00h12m31s | time left: 15h12m16s
epoch   0 | batch   1000 | examples/s:  14.5 | loss: 0.11557 | time elapsed: 00h13m54s | time left: 15h09m41s
epoch   0 | batch   1100 | examples/s:  14.6 | loss: 0.11463 | time elapsed: 00h15m16s | time left: 15h07m11s
epoch   0 | batch   1200 | examples/s:  14.6 | loss: 0.11377 | time elapsed: 00h16m39s | time left: 15h04m52s
epoch   0 | batch   1300 | examples/s:  14.6 | loss: 0.11282 | time elapsed: 00h18m01s | time left: 15h02m37s
epoch   0 | batch   1400 | examples/s:  14.6 | loss: 0.11210 | time elapsed: 00h19m24s | time left: 15h00m35s
epoch   0 | batch   1500 | examples/s:  14.5 | loss: 0.11125 | time elapsed: 00h20m46s | time left: 14h58m41s
epoch   0 | batch   1600 | examples/s:  14.6 | loss: 0.11059 | time elapsed: 00h22m08s | time left: 14h56m48s
epoch   0 | batch   1700 | examples/s:  14.5 | loss: 0.11003 | time elapsed: 00h23m31s | time left: 14h55m02s
epoch   0 | batch   1800 | examples/s:  14.6 | loss: 0.10944 | time elapsed: 00h24m53s | time left: 14h53m14s
epoch   0 | batch   1900 | examples/s:  14.5 | loss: 0.10886 | time elapsed: 00h26m16s | time left: 14h51m45s
epoch   0 | batch   2000 | examples/s:  14.5 | loss: 0.10833 | time elapsed: 00h27m39s | time left: 14h50m16s
epoch   0 | batch   2100 | examples/s:  14.5 | loss: 0.10779 | time elapsed: 00h29m02s | time left: 14h48m53s
epoch   0 | batch   2200 | examples/s:  14.5 | loss: 0.10731 | time elapsed: 00h30m25s | time left: 14h47m23s
epoch   0 | batch   2300 | examples/s:  14.5 | loss: 0.10682 | time elapsed: 00h31m48s | time left: 14h45m53s
epoch   0 | batch   2400 | examples/s:  14.5 | loss: 0.10643 | time elapsed: 00h33m10s | time left: 14h44m25s
epoch   0 | batch   2500 | examples/s:  14.5 | loss: 0.10600 | time elapsed: 00h34m33s | time left: 14h42m55s
epoch   0 | batch   2600 | examples/s:  14.5 | loss: 0.10562 | time elapsed: 00h35m56s | time left: 14h41m27s
epoch   0 | batch   2700 | examples/s:  14.5 | loss: 0.10525 | time elapsed: 00h37m19s | time left: 14h40m02s
epoch   0 | batch   2800 | examples/s:  14.5 | loss: 0.10489 | time elapsed: 00h38m42s | time left: 14h38m37s
epoch   0 | batch   2900 | examples/s:  14.5 | loss: 0.10454 | time elapsed: 00h40m05s | time left: 14h37m12s
epoch   0 | batch   3000 | examples/s:  14.5 | loss: 0.10424 | time elapsed: 00h41m27s | time left: 14h35m44s
epoch   0 | batch   3100 | examples/s:  14.5 | loss: 0.10391 | time elapsed: 00h42m50s | time left: 14h34m13s
epoch   0 | batch   3200 | examples/s:  14.5 | loss: 0.10356 | time elapsed: 00h44m12s | time left: 14h32m43s
epoch   0 | batch   3300 | examples/s:  14.6 | loss: 0.10322 | time elapsed: 00h45m35s | time left: 14h31m09s
Validating
/opt/_internal/cpython-3.7.0/lib/python3.7/site-packages/paddle/nn/layer/norm.py:653: UserWarning: When training, we now always track global mean and variance.
  "When training, we now always track global mean and variance.")
/opt/_internal/cpython-3.7.0/lib/python3.7/site-packages/paddle/framework/io.py:415: DeprecationWarning: Using or importing the ABCs from 'collections' instead of from 'collections.abc' is deprecated, and in 3.8 it will stop working
  if isinstance(obj, collections.Iterable) and not isinstance(obj, (
In epoch 0, the validation loss is 0.09420517374477956.
Training
epoch   1 | batch    100 | examples/s:  13.5 | loss: 0.09377 | time elapsed: 00h49m08s | time left: 15h05m14s
epoch   1 | batch    200 | examples/s:  14.4 | loss: 0.09349 | time elapsed: 00h50m31s | time left: 15h02m54s
epoch   1 | batch    300 | examples/s:  14.4 | loss: 0.09309 | time elapsed: 00h51m55s | time left: 15h00m35s
epoch   1 | batch    400 | examples/s:  14.4 | loss: 0.09297 | time elapsed: 00h53m18s | time left: 14h58m19s
epoch   1 | batch    500 | examples/s:  14.5 | loss: 0.09298 | time elapsed: 00h54m41s | time left: 14h56m02s
epoch   1 | batch    600 | examples/s:  14.6 | loss: 0.09272 | time elapsed: 00h56m03s | time left: 14h53m40s
epoch   1 | batch    700 | examples/s:  14.6 | loss: 0.09251 | time elapsed: 00h57m25s | time left: 14h51m17s
epoch   1 | batch    800 | examples/s:  14.6 | loss: 0.09230 | time elapsed: 00h58m48s | time left: 14h48m55s
epoch   1 | batch    900 | examples/s:  14.6 | loss: 0.09219 | time elapsed: 01h00m10s | time left: 14h46m39s
epoch   1 | batch   1000 | examples/s:  14.5 | loss: 0.09191 | time elapsed: 01h01m33s | time left: 14h44m35s
epoch   1 | batch   1100 | examples/s:  14.5 | loss: 0.09183 | time elapsed: 01h02m55s | time left: 14h42m26s
epoch   1 | batch   1200 | examples/s:  14.5 | loss: 0.09164 | time elapsed: 01h04m18s | time left: 14h40m20s
epoch   1 | batch   1300 | examples/s:  14.5 | loss: 0.09154 | time elapsed: 01h05m40s | time left: 14h38m15s
